"âge m.","das alter"
"conjugué »fuir«","fliehen<br>je fuis<br>tu fuis<br>il/elles/on fuit<br>nous fuyons<br>vous fuyez<br>ils/elles fuient"
"conjugué »acheter«","kaufen<br>j‘achète<br>tu achètes<br>il/elle/on achète<br>nous achetons<br>vous achetez<br>ils/elles achètent"
"conjugué »payer«","bezahlen<br>je paie<br>tu paies<br>il/elle/on paie<br>nous payons<br>vous payez<br>ils/elles paient"
"conjugué »plaire«","gefallen<br>je plais<br>tu plais<br>il/elle/on plaît<br>nous plaisons<br>vous plaisez<br>ils/elles plaisent"
"conjugué »dire«","sagen<br>je dis<br>tu dis<br>il/elle/on dit<br>nous disons<br>vous dites<br>ils/elles disent"
"conjugué »conquérir«","erobern<br>je conquiers<br>tu conquiers<br>il/elle/on conquiert<br>nous conquérons<br>vous conquérez<br>ils/elles conquièrent"
"conjugué »suivre«","folgen<br>je suis<br>tu suis<br>il/elle/on suit<br>nous suivons<br>vous suivez<br>ils/elles suivent"
"conjugué »devoir«","müssen<br>je dois<br>tu dois<br>il/elle/on doit<br>nous devons<br>vous devez<br>ils/elles doivent"
"conjugué »venir«","kommen<br>je viens<br>tu viens<br>il vient<br>nous venons<br>vous venez<br>ils viennent"
"conjugué »faire«","machen<br>je fais<br>tu fais<br>il/elle/on fait<br>nous faisons<br>vous faites<br>ils/elles font"
"conjugué »interromper«","unterbrechen<br>j‘interromps<br>tu interromps<br>il/elle/on interrompt<br>nous interrompons<br>vous interrompez<br>ils/elles interrompent"
"conjugué »aller«","gehen<br>je vais<br>tu vas<br>il/elle/on va<br>nous allons<br>vous allez<br>ils/elles vont"
"conjugué »être«","sein<br>je suis<br>tu es<br>il/elle/on est<br>nous sommes<br>vous êtes<br>ils/elles sont"
"conjugué »avoir«","haben<br>j‘ai<br>tu as<br>il/elles/on a<br>nous avons<br>vous avez<br>ils/elles ont"
